Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company)
Blackstone Group,https://www.crunchbase.com/organization/blackstone,,"Advice, Business Development, Consulting, Finance, Financial Services","New York, New York, United States","Blackstone Group is a private equity firm that invests in buyouts, debt, mergers and acquisitions, mezzanine, and growth capital.","7,069"
Axon,https://www.crunchbase.com/organization/taser-international,,"Electronics, GovTech, Hardware, Software","Scottsdale, Arizona, United States",Axon provides electronic control devices to law enforcement and corrections agencies.,"7,081"
Papaya Global,https://www.crunchbase.com/organization/papaya-global,,"Data Integration, Employment, FinTech, Human Resources, Recruiting, SaaS","New York, New York, United States",Papaya Global is a fintech platform that provides cloud-based payroll and payments solutions for global workforce management.,"7,096"
Natera,https://www.crunchbase.com/organization/natera,,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical, Women's","San Carlos, California, United States","Natera specializes in cell-free DNA testing to provide a more targeted interventions to oncology, women's health, and organ health.","7,157"
Front,https://www.crunchbase.com/organization/front-app,,"Collaboration, CRM, Customer Service, Productivity Tools, SaaS, Unified Communications","San Francisco, California, United States","The AI-powered customer operations platform built for the complex, high-stakes reality of B2B.","7,165"
Kroger,https://www.crunchbase.com/organization/kroger,,"Grocery, Logistics, Retail","Cincinnati, Ohio, United States",Kroger is a retail company that operates supermarkets and multi-department stores offering consumer goods.,"7,186"
Guardant Health,https://www.crunchbase.com/organization/guardant-health,,"Biotechnology, Health Care, Health Diagnostics, Oncology, Therapeutics","Redwood City, California, United States","Guardant Health is a precision oncology company that uses blood tests, data sets, and analytics to provide treatment to cancer patients.","7,189"
Bakkt,https://www.crunchbase.com/organization/bakkt,,"Cryptocurrency, Financial Services, FinTech, Loyalty Programs","Alpharetta, Georgia, United States","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","7,201"
Lower,https://www.crunchbase.com/organization/lower,,"Finance, Financial Services, FinTech, Lending","New Albany, Ohio, United States","Lower provides home refinancing, customer service, consumer lending, home purchase, and financial services.","7,274"
Jacobs,https://www.crunchbase.com/organization/jacobs,,"Civil Engineering, Consulting, Cyber Security, Industrial, Industrial Engineering, Information Technology, Infrastructure, Professional Services, Real Estate","Dallas, Texas, United States","Jacobs leads the global professional services sector delivering solutions for a more connected, sustainable world.","7,298"
Stem,https://www.crunchbase.com/organization/stem,,"Energy Efficiency, Enterprise Software, Information Services, Information Technology","Millbrae, California, United States",Stem brings and optimizes energy consumption to business through its distributed storage technology.,"7,322"
ADP,https://www.crunchbase.com/organization/adp,,"Bookkeeping and Payroll, Consulting, Human Resources, Outsourcing, Payments, Software","Roseland, New Jersey, United States","ADP provides business outsourcing solutions that facilitate businesses in HR, payroll, and administration processes.","7,338"
Mattel,https://www.crunchbase.com/organization/mattel,,"Consumer Goods, Manufacturing, Online Games, PC Games, Toys","El Segundo, California, United States",Mattel is a manufacturing firm that designs toys and products for family entertainment.,"7,367"
Block,https://www.crunchbase.com/organization/square,,"Bitcoin, Consumer, FinTech, Mobile Payments, Productivity Tools, Retail Technology","San Francisco, California, United States",Block is a technology company with a focus on financial services.,"7,368"
Entergy Corporation,https://www.crunchbase.com/organization/entergy-corporation,,"Electrical Distribution, Energy, Marketing, Power Grid, Retail Technology, Trading Platform","New Orleans, Louisiana, United States",Entergy Corporation is an integrated energy company,"7,378"
PNC,https://www.crunchbase.com/organization/pnc-financial-services-group,,"Banking, Finance, Financial Services","Pittsburgh, Pennsylvania, United States",PNC is a financial service company providing bank deposits products and services to its community.,"7,389"
Vymo,https://www.crunchbase.com/organization/vymo,,"Analytics, CRM, FinTech, Information Technology, InsurTech, Productivity Tools, SaaS, Sales Automation, Software","Sunnyvale, California, United States",Vymo is a sales engagement platform to provide sales productivity and engagement for financial institutions.,"7,399"
AllianceBernstein,https://www.crunchbase.com/organization/alliancebernstein,,"Asset Management, Financial Services, Wealth Management","New York, New York, United States","AllianceBernstein is a publicly traded global asset management firm, with approximately $735 billion in assets under management at March","7,402"
OutSystems,https://www.crunchbase.com/organization/outsystems,,"Agentic AI, Artificial Intelligence (AI), Data Integration, Developer Platform, Developer Tools, DevOps, Generative AI, PaaS, SaaS, Software","Boston, Massachusetts, United States","OutSystems is an AI-powered low-code platform that enables businesses to develop, deploy, and manage enterprise-grade apps.","7,411"
Bright Machines,https://www.crunchbase.com/organization/bright-machines,,"Computer, Information Technology, Machine Learning, Robotics, Software","San Francisco, California, United States","Bright Machines brings together flexible factory robots with intelligent software, production data and machine learning.","7,446"
Kraft Heinz,https://www.crunchbase.com/organization/the-kraft-heinz-company,,"Food and Beverage, Food Processing, Meat and Poultry, Tobacco","Mendota, Minnesota, United States","Kraft Heinz is a multinational food and beverage company offering a diverse range of condiments, sauces, snacks, cheese, and frozen foods.","7,461"
SAIC,https://www.crunchbase.com/organization/saic,,"Information Technology, Security, Service Industry, Software","Reston, Virginia, United States","SAIC specializes in IT, enterprise IT, engineering, and professional services.","7,465"
IQVIA,https://www.crunchbase.com/organization/quintilesims,,"Analytics, Health Care, Life Science","Danbury, Connecticut, United States","IQVIA provides analytics, compliance, and management solutions to the life sciences industry.","7,491"
MACH Resources,https://www.crunchbase.com/organization/mach-resources,,"Energy, Oil and Gas, Renewable Energy","Oklahoma City, Oklahoma, United States",Mach Resources is an independent oil and natural gas producer & fast-paced and growth-oriented company.,"7,492"
Herbalife,https://www.crunchbase.com/organization/herbalife-ltd,,"Dietary Supplements, Fitness, Health Care, Nutrition","Los Angeles, California, United States",Herbalife is a nutrition company that offers dietary supplements and products for individuals and distributors.,"7,494"
Hershey,https://www.crunchbase.com/organization/the-hershey-company,,"Confectionery, Food and Beverage, Manufacturing, Service Industry, Snack Food","Hershey, Pennsylvania, United States","Hershey is a global confectionery that provides chocolates, sweets, mints, and other snacks around the world.","7,550"
Synchrony,https://www.crunchbase.com/organization/synchrony-financial,,"Consumer Lending, Finance, Financial Services, Insurance, Venture Capital","Stamford, Connecticut, United States",Synchrony is a consumer financial services company.,"7,577"
The Hagerty Group,https://www.crunchbase.com/organization/hagerty-u-s-2,,"Auto Insurance, Insurance, InsurTech","Traverse City, Michigan, United States","The Hagerty Group is an insurance agency that offers cars, boats, and motorcycles insurance services.","7,580"
Atlas Energy Solutions,https://www.crunchbase.com/organization/atlas-energy-solutions-b74d,,"Industrial, Logistics, Oil and Gas","Austin, Texas, United States",Atlas Energy Solutions produces proppant and provides logistics services for the oil and gas industry.,"7,609"
Galaxy Digital,https://www.crunchbase.com/organization/galaxy-digital-lp,,"Asset Management, Banking, Cryptocurrency, Financial Services, FinTech","New York, New York, United States",Galaxy Digital is a technology-driven investment firm that provides financial solutions spanning the digital assets ecosystem.,"7,651"
Sprinklr,https://www.crunchbase.com/organization/sprinklr,,"Advertising Platforms, Analytics, Cloud Computing, Enterprise Software, Social Media, Social Media Management, Software","New York, New York, United States",Sprinklr provides enterprise software for customer experience management.,"7,737"
Charles River Laboratories International,https://www.crunchbase.com/organization/charles-river-laboratories-international,,"Biotechnology, Health Care, Pharmaceutical","Wilmington, Massachusetts, United States",Charles River Laboratories International is a pharmaceutical company that offers laboratory products and services for drug discovery.,"7,825"
3M,https://www.crunchbase.com/organization/3m,,"Automotive, Cleaning Products, Consulting, Electronics, Enterprise Software, Manufacturing","Saint Paul, Minnesota, United States","3M is a global company that applies science to life, offering products and solutions across various industries.","7,842"
Palo Alto Networks,https://www.crunchbase.com/organization/palo-alto-networks,,"Agentic AI, Cloud Security, Cyber Security, Network Security, Security","Santa Clara, California, United States",Palo Alto Networks is a cybersecurity company that offers cybersecurity solutions for organizations.,"7,857"
Booking Holdings,https://www.crunchbase.com/organization/the-priceline-group,,"Internet, Reservations, Travel","Norwalk, Connecticut, United States",Booking Holdings provides online travel and travel-related reservation and services.,"7,885"
Picsart,https://www.crunchbase.com/organization/picsart,,"Artificial Intelligence (AI), Consumer, Generative AI, Graphic Design, Photo Editing, Photography, Software, Video Editing","Hallandale, Florida, United States",Picsart is a photo and video editing platform and creative community.,"7,890"
RXO,https://www.crunchbase.com/organization/rxo,,"Logistics, Supply Chain Management, Transportation","Charlotte, North Carolina, United States",RXO is a market leader in asset-light transportation.,"7,895"
SunPower,https://www.crunchbase.com/organization/complete-solaria,,"Energy, Solar","Fremont, California, United States","SunPower is a solar company with a distinct end-to-end customer offering, technology, and service.","7,908"
Centuri Group,https://www.crunchbase.com/organization/centuri-construction-group-inc,,"Energy, Infrastructure, Real Estate, Renewable Energy","Phoenix, Arizona, United States","Centuri Construction Group, Inc. is a full service energy construction company.","7,913"
Twist Bioscience,https://www.crunchbase.com/organization/twist-biosciences,,"B2B, Biotechnology, Chemical, Health Care, Life Science","San Francisco, California, United States","Twist Bioscience is a biotechnology company that offers synthetic DNA solutions, gene synthesis, and variant libraries.","7,917"
DXC Technology,https://www.crunchbase.com/organization/dxc-technology,,"Analytics, Consulting, Information Technology, InsurTech, Outsourcing, Security, Software Engineering","Ashburn, Virginia, United States","DXC Technology is an IT and consulting services company that offers insurance software, security, and application development services.","7,925"
Rockwell Automation,https://www.crunchbase.com/organization/rockwell-automation,,"Hardware, Industrial Automation, Sales Automation, Software","Milwaukee, Wisconsin, United States","Rockwell Automation specializes in industrial automation and information, makes its customers more productive.","7,947"
TWFG Insurance Services,https://www.crunchbase.com/organization/twfg-insurance-services,,"Auto Insurance, Commercial Insurance, Communities, Health Care, Health Insurance, Insurance, Life Insurance","The Woodlands, Texas, United States",TWFG is a company that cares,"7,959"
Globant,https://www.crunchbase.com/organization/globant,,"Big Data, Cloud Computing, Consulting, Content, Marketing, Mobile, Retail, Sales","San Francisco, California, United States",Globant is a digitally native company that helps organizations reinvent and realize full potential.,"7,982"
Roofstock,https://www.crunchbase.com/organization/roofstock,,"FinTech, Marketplace, PropTech, Real Estate, Rental Property","Oakland, California, United States",Roofstock is an online marketplace for investing in leased single-family rental homes.,"8,009"
The Oncology Institute of Hope and Innovation,https://www.crunchbase.com/organization/the-oncology-institute-of-hope-and-innovation,,"Health Care, Health Diagnostics, Home Health Care, Medical, Oncology, Psychology","Downey, California, United States",The Oncology Institute of Hope and Innovation is providing professional support for those affected by cancer and hematological malignancy.,"8,021"
Curative,https://www.crunchbase.com/organization/curative,,"Employee Benefits, Health Care, Health Diagnostics, Health Insurance","Austin, Texas, United States",Curative provides employer-based health insurance plans and healthcare services.,"8,097"
Agilent Technologies,https://www.crunchbase.com/organization/agilent,,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical","Santa Clara, California, United States",Agilent Technologies addresses the scientific and laboratory management needs of analytical scientists and clinical researchers.,"8,101"
Payoneer,https://www.crunchbase.com/organization/payoneer,,"B2B, Finance, FinTech, Payments","New York, New York, United States",Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,"8,111"
Flowserve,https://www.crunchbase.com/organization/flowserve,,"Energy, Industrial, Industrial Automation, Machinery Manufacturing, Manufacturing, Oil and Gas","Irving, Texas, United States","Flowserve specializes in supplying pumps, valves, seals, automation, and services to the power, oil, gas, chemical, and other industries.","8,134"
Lattice,https://www.crunchbase.com/organization/lattice-2,,"Enterprise Applications, Human Resources, Management Information Systems, Productivity Tools, Software","San Francisco, California, United States","Lattice is a people success platform that help business leaders develop engaged, high-performing employees, and winning cultures.","8,138"
Signifyd,https://www.crunchbase.com/organization/signifyd,,"Cyber Security, E-Commerce, Enterprise Software, Financial Services, FinTech, Fraud Detection, SaaS, Software","San Jose, California, United States",Signifyd is a provider of an enterprise-grade fraud technology solution for e-commerce stores.,"8,139"
Sleep Number,https://www.crunchbase.com/organization/sleep-number,,"Content, Facebook, Health Care, Home Decor","Minneapolis, Minnesota, United States",This Sleep Number Facebook page is monitored and managed by Sleep Number employees. Please remember that the views and information,"8,161"
American Express,https://www.crunchbase.com/organization/americanexpress,,"Credit Cards, Finance, Financial Services, Payments, Travel","New York, New York, United States","American Express is a financial services company that provides credit cards, charge cards, payment solutions, and related services.","8,173"
Domo,https://www.crunchbase.com/organization/domo,,"Analytics, Business Intelligence, Enterprise Software, Information Technology, SaaS, Software","American Fork, Utah, United States",Domo designs and delivers an executive management platform as a service to help executives manage business.,"8,189"
Blend360,https://www.crunchbase.com/organization/blend360,,"Business Intelligence, Database, Data Governance, Data Integration, Data Management, Data Visualization, Information Technology, Intelligent Systems, IT Infrastructure, Professional Services","Columbia, Maryland, United States","Blend is a premier AI services provider, who creates meaningful impact for its clients through the power of data, AI, technology and people","8,200"
Sysco,https://www.crunchbase.com/organization/sysco,,"Electrical Distribution, Food and Beverage, Food Delivery, Health Care, Hospitality, Logistics, Marketing, Meat and Poultry, Restaurants, Sales","Houston, Texas, United States","Sysco sells, markets, and distributes food products to restaurants, hotels, and other hospitality businesses.","8,294"
GXO Logistics,https://www.crunchbase.com/organization/gxo-logistics,,"Logistics, Supply Chain Management","Greenwich, Connecticut, United States",GXO Logistics provides cutting-edge logistics solutions for multinational companies and blue-chip market leaders.,"8,333"
Insulet,https://www.crunchbase.com/organization/insulet-corporation,,"Biotechnology, Diabetes, Health Care, Medical, Medical Device","Acton, Massachusetts, United States",Insulet is a medical device company that offers an omnipod delivery system.,"8,337"
Seamless.AI,https://www.crunchbase.com/organization/seamless-contacts,,"Artificial Intelligence (AI), Information Technology, Lead Generation, Machine Learning, Sales Automation, Software","Dublin, Ohio, United States",Seamless.ai provides a sales automation software intended to organize contacts and make them universally accessible and useful.,"8,353"
GlobalFoundries,https://www.crunchbase.com/organization/globalfoundries,,"Electronics, Manufacturing, Semiconductor","New York, New York, United States",GlobalFoundries is a full-service semiconductor foundry that manufactures integrated circuits in high volume.,"8,378"
TriNet,https://www.crunchbase.com/organization/trinet,,"Bookkeeping and Payroll, Enterprise Software, Human Resources, Risk Management, Software","San Leandro, California, United States",TriNet provides HR solutions and services to small and medium-sized businesses.,"8,397"
Sure,https://www.crunchbase.com/organization/sure-inc,,"Financial Services, FinTech, Insurance, InsurTech","New York, New York, United States",Sure is an embedded insurance technology company that powers API-based digital insurance programs for global brands and insurance carriers.,"8,407"
Kratos Defense and Security Solutions,https://www.crunchbase.com/organization/kratos-defense-and-security-solutions,,"Consulting, Cyber Security, Government, Information Technology, National Security, Public Safety, Satellite Communication, Security","San Diego, California, United States","Kratos Defense & Security Solutions provides mission critical engineering, IT services, and war fighter solutions.","8,451"
Vivid Seats,https://www.crunchbase.com/organization/vivid-seats,,"Events, Internet, Marketplace, Reservations, Ticketing","Chicago, Illinois, United States",Vivid Seats operates as an online ticket marketplace that connects fans with event ticket sellers.,"8,474"
Snowflake,https://www.crunchbase.com/organization/snowflake-computing,,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software","San Mateo, California, United States",Snowflake is a cloud data platform that provides a data warehouse as a service designed for the cloud.,"8,475"
Datadog,https://www.crunchbase.com/organization/datadog,,"Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Data Management, DevOps, Productivity Tools, SaaS","New York, New York, United States","Datadog is an observability and security platform that offers infrastructure, applications, software development, and monitoring services.","8,496"
Enphase Energy,https://www.crunchbase.com/organization/enphase-energy,,"Energy, Renewable Energy, Semiconductor, Solar","Fremont, California, United States",Enphase Energy offers a micro-inverter system that delivers solar energy to homes and businesses.,"8,536"
Roivant Sciences,https://www.crunchbase.com/organization/roivant-sciences,,"Biopharma, Biotechnology, Health Care, Pharmaceutical, Product Research","New York, New York, United States",Roivant Sciences is a biopharmaceutical company focused on the development of medicines and healthcare technologies to patients.,"8,589"
Harley-Davidson,https://www.crunchbase.com/organization/harley-davidson-motor-company,,"Automotive, Business Development, Industrial, Manufacturing, Transportation","Milwaukee, Wisconsin, United States",Harley-Davidson manufactures motorcycles.,"8,591"
Excelerate Energy,https://www.crunchbase.com/organization/excelerate,,"Clean Energy, Energy, Renewable Energy","The Woodlands, Texas, United States",Excelerate Energy engages in providing floating LNG solutions to empower countries with energy independence.,"8,592"
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,,"Cloud Computing, DevOps, SaaS, Virtualization, Web Hosting","New York, New York, United States","DigitalOcean provides a cloud platform to deploy, manage, and scale applications of any size.","8,633"
Phillips 66,https://www.crunchbase.com/organization/phillips-66-2,,"Energy, Logistics, Manufacturing","Houston, Texas, United States",Energy manufacturing and logistics company,"8,658"
Definitive Healthcare,https://www.crunchbase.com/organization/definitive-healthcare,,"Analytics, Artificial Intelligence (AI), CRM, Hospital, Information Services, Medical, SaaS","Framingham, Massachusetts, United States","Definitive Healthcare aims to transform data, analytics and expertise into healthcare commercial intelligence.","8,664"
Xoxoday,https://www.crunchbase.com/organization/giift,,"Employee Benefits, Enterprise Software, Loyalty Programs, SaaS, Software","Redwood City, California, United States","Xoxoday offers a suite of products that drive growth through meaningful rewards, recognition, loyalty, and engagement programs.","8,674"
argenx,https://www.crunchbase.com/organization/argenx,,"Biotechnology, Clinical Trials, Therapeutics","Boston, Massachusetts, United States",argenx is a global immunology company committed to improving the lives of people suffering from severe autoimmune diseases and cancer.,"8,721"
Somatus,https://www.crunchbase.com/organization/somatus,,"Health Care, Health Diagnostics, Hospital, Medical, Primary and Urgent Care, Wellness","Mclean, Virginia, United States","Somatus is a healthcare company that partners with health plans, health systems, nephrology, and primary care groups.","8,774"
Carvana,https://www.crunchbase.com/organization/carvana,,"Automotive, Autonomous Vehicles, E-Commerce","Tempe, Arizona, United States",Carvana is an e-commerce platform that buys and sells used cars.,"8,780"
Volante Technologies,https://www.crunchbase.com/organization/volante-technologies,,"Finance, Financial Services, Software","Jersey City, New Jersey, United States",Volante help clients integrate and manage the diverse and complex data message formats and protocols for firms in the financial industry.,"8,808"
Seagate Technology,https://www.crunchbase.com/organization/seagate,,"Cloud Storage, Consumer Electronics, Data Storage, Flash Storage, Hardware, Information Services, Manufacturing, Software","Cupertino, California, United States","Seagate is a data storage and hardware company that offers hard disk drives (HDDs), solid-state drives (SSDs), and other storage solutions.","8,825"
DoiT,https://www.crunchbase.com/organization/doit-international,,"Analytics, Big Data, Cloud Computing, Information Technology, Internet of Things","Santa Clara, California, United States","DoiT Cloud Intelligence intent-aware FinOps platform goes beyond cost optimization to drive reliability, performance, and security.","8,851"
Lumexa Imaging,https://www.crunchbase.com/organization/lumexa-imaging,,"Health Care, Health Diagnostics, Hospital","Raleigh, North Carolina, United States","Lumexa Imaging is a medical diagnostic imaging center that offers X-rays, MRI, CT scans, and mammogram services.","8,891"
Fly Exclusive,https://www.crunchbase.com/organization/fly-exclusive,,"Aerospace, Business Development, Consulting, Financial Services","Kinston, North Carolina, United States","Fly Exclusive provide high quality, safe &reliable private jet travel at industry leading levels of affordability, accessibility.","8,896"
Enovis,https://www.crunchbase.com/organization/enovis,,"Health Care, Manufacturing, Medical, Medical Device, Product Design","Wilmington, Delaware, United States",Enovis is a medical technology company that develops orthopedic medical devices.,"8,966"
RXR Realty,https://www.crunchbase.com/organization/rxr-realty,,"Financial Services, Real Estate, Real Estate Investment","New York, New York, United States","RXR Realty is a real estate company specializing in investment and property management, design, construction, leasing, and financing.","8,983"
Microchip Technology,https://www.crunchbase.com/organization/microchip-technology,,"Automotive, Hardware, Manufacturing, Semiconductor, Wireless","Chandler, Arizona, United States",Microchip Technology develops and manufactures semiconductor products for various embedded control applications worldwide.,"8,984"
Union Pacific,https://www.crunchbase.com/organization/union-pacific-corporation,,"Information Technology, Logistics, Transportation","Omaha, Nebraska, United States","Union Pacific Railroad is the principal operating company of Union Pacific Corporation both are headquartered in Omaha, Nebraska","9,014"
BD,https://www.crunchbase.com/organization/bd-8a88,,"Health Care, Medical Device, Technical Support","Franklin Lakes, New Jersey, United States",BD helps advance clinical therapy with the process for patients and health care providers with innovative technology services and solutions.,"9,020"
MSCI,https://www.crunchbase.com/organization/msci,,"Analytics, Financial Services, Risk Management","New York, New York, United States",MSCI is a provider of investment decision support tools to investment institutions worldwide.,"9,047"
Greenvolt Power,https://www.crunchbase.com/organization/greenvolt-power-usa,,"Electrical Distribution, Energy, Renewable Energy, Solar","Boston, Massachusetts, United States",Greenvolt Power is a renewable energy platform that develops and operates onshore Wind and photovoltaic installations.,"9,053"
Zions Bancorporation,https://www.crunchbase.com/organization/zions-bancorporation,,"Agriculture, Banking, Finance, Financial Services","Salt Lake City, Utah, United States","Zions Bancorporation is a financial services company involved in SBA lending, public finance advisory services, and agricultural finance.","9,160"
Bolt,https://www.crunchbase.com/organization/bolt-5,,"E-Commerce, Fraud Detection, Mobile Payments, Payments","San Francisco, California, United States",Bolt is a fintech company that facilitates one-click online checkouts.,"9,171"
Sonos,https://www.crunchbase.com/organization/sonos,,"Audio, Consumer Electronics, Music, Wireless","Santa Barbara, California, United States",Sonos is a wireless multi-room music system that enables users to play music anywhere in the house and control it using a smartphone.,"9,190"
Spreetail,https://www.crunchbase.com/organization/spreetail,,"E-Commerce, Information Technology, Logistics, Retail, Software","Lincoln, Nebraska, United States",Spreetail is a global ecommerce accelerator that provides manufacturers with logistics and channel management.,"9,197"
Docker,https://www.crunchbase.com/organization/docker,,"Developer Platform, Developer Tools, Information Technology, Software","Palo Alto, California, United States","Docker’s platform helps millions of developers efficiently and collaboratively build, share, and run applications.","9,205"
Synopsys,https://www.crunchbase.com/organization/synopsys,,"Electronic Design Automation (EDA), Information Services, Information Technology, Software","Mountain View, California, United States","Synopsys is a software company providing electronic design automation (EDA), semiconductor IP, software quality, and security solutions.","9,216"
Bond Vet,https://www.crunchbase.com/organization/bond-vet,,"Health Care, Medical, Pet, Primary and Urgent Care, Veterinary","New York, New York, United States","Bond Vet operates a network of vet clinics that offer a range of veterinary services, from routine check-ups to urgent care.","9,221"
The New York Times,https://www.crunchbase.com/organization/newyorktimes,,"Advertising, Internet, News, Publishing","New York, New York, United States","The New York Times creates, collects, and distributes news, information, and entertainment through a daily newspaper and a website.","9,290"
Gallagher,https://www.crunchbase.com/organization/arthur-j-gallagher-co,,"Consulting, Financial Services, Insurance, Management Consulting, Risk Management","Rolling Meadows, Illinois, United States",Gallagher is an international insurance brokerage and risk management services firm.,"9,294"
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,,"Biotechnology, Genetics, Health Care, Medical","Pleasanton, California, United States",10X Genomics ELV solutions and security systems company that provides an innovative genomics platform.,"9,351"
Curaleaf,https://www.crunchbase.com/organization/curaleaf,,"Alternative Medicine, Cannabis, Health Care, Medical","Stamford, Connecticut, United States",Curaleaf operates as a vertically integrated medical and wellness cannabis producer.,"9,448"
Whatnot,https://www.crunchbase.com/organization/whatnot,,"Collectibles, Consumer, E-Commerce, Information Technology, Marketplace, Trading Platform","San Francisco, California, United States",Whatnot is a livestream shopping platform for buying and selling products.,"9,496"
Apple,https://www.crunchbase.com/organization/apple,,"Apps, Artificial Intelligence (AI), Broadcasting, Digital Entertainment, Foundational AI, Media and Entertainment, Mobile Devices, Operating Systems, TV, Wearables","Cupertino, California, United States","Apple is a technology company that designs, manufactures, and markets consumer electronics, personal computers, and software.","9,518"
Ironclad,https://www.crunchbase.com/organization/ironclad,,"Artificial Intelligence (AI), Enterprise Software, Legal Tech, Management Information Systems, SaaS","San Francisco, California, United States",Ironclad is a contract lifecycle management platform used by companies to handle every type of contract workflow.,"9,547"
Mariner Wealth Advisors,https://www.crunchbase.com/organization/mariner-wealth-advisors,,"Consulting, Financial Services, Risk Management","Leawood, Kansas, United States",Mariner Wealth Advisors is a financial services company specializing in risk management and consultancy services.,"9,567"
ServiceTitan,https://www.crunchbase.com/organization/servicetitan,,"CRM, Information Technology, Operating Systems, SaaS, Software","Glendale, California, United States","ServiceTitan is a software solution that manages operations for businesses in the home service industry, including scheduling and invoicing.","9,596"
Dow,https://www.crunchbase.com/organization/the-dow-chemical-company,,"Agriculture, Chemical, Innovation Management, Manufacturing","Midland, Michigan, United States","Dow is a materials science company that offers packaging, infrastructure, and consumer care solutions.","9,615"
Trulieve,https://www.crunchbase.com/organization/trulieve,,"Alternative Medicine, Cannabis, Health Care, Pharmaceutical","Quincy, Florida, United States",Trulieve is a pharmaceutical company that manufactures integrated seed-to-sale medical cannabis products for brain and health treatments.,"9,675"
Whisker,https://www.crunchbase.com/organization/auto-pets,,"Consumer, Consumer Goods, Pet","Auburn Hills, Michigan, United States","Maker of the highest-rated automatic, self-cleaning litter box on the market, used by more than 1,000,000 pet parents.","9,704"
Citizens Bank,https://www.crunchbase.com/organization/citizens-bank,,"Banking, Credit Cards, Financial Services, FinTech, Retail","Providence, Rhode Island, United States","Citizens Bank is the largest financial services firm that specializes in commercial banking, mortgages, credit cards, and mobile banking.","9,780"
Kantata,https://www.crunchbase.com/organization/kantata,,"Business Intelligence, Information Technology, Professional Services, Project Management, SaaS, Software","Irvine, California, United States","Kantata develops purpose-built software to provide professional services organizations clarity, control, and confidence.","9,805"
Oportun,https://www.crunchbase.com/organization/progreso-financiero,,"Consumer Lending, Debit Cards, Financial Services, FinTech","San Carlos, California, United States",Oportun is a digital banking platform that offers personal loans and financial services to people with limited credit history.,"9,809"
airSlate,https://www.crunchbase.com/organization/airslate,,"Business Process Automation (BPA), Document Management, Management Information Systems, Productivity Tools, SaaS, Software","Brookline, Massachusetts, United States","AirSlate is a SaaS technology that provides no-code business process automation, e-signature, and document management solutions.","9,815"
T. Rowe Price,https://www.crunchbase.com/organization/t-rowe-price,,"Business Development, Finance, Financial Exchanges, Financial Services","Baltimore, Maryland, United States",T. Rowe Price is an investment management firm that focuses on funding technology startups.,"9,829"
8x8,https://www.crunchbase.com/organization/8x8-inc,,"Information Technology, SaaS, Software, Telecommunications, Virtual Reality, VoIP","Campbell, California, United States","8x8 offers secure and reliable cloud-based, enterprise-class business phone systems, unified communications, and contact center solutions.","9,841"
Global Payments,https://www.crunchbase.com/organization/global-payments,,"Apps, Banking, Credit, Enterprise, Finance, Financial Services, Payments","Atlanta, Georgia, United States","Global Payments offers transaction processing services through their high-speed, robust electronic information networks.","9,844"
Assurant,https://www.crunchbase.com/organization/assurant,,"Customer Service, Finance, Financial Services, Information Technology, Insurance","New York, New York, United States",Assurant provides protection products and related services to safeguard companies against risks.,"9,958"
Docusign,https://www.crunchbase.com/organization/docusign,,"Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software","San Francisco, California, United States","Docusign provides a software to prepare, send, sign, store, and manage documents through electronic signature and workflow tools.","9,980"
CME Group,https://www.crunchbase.com/organization/cme-group,,"Finance, Financial Services, Marketplace, Stock Exchanges","Chicago, Illinois, United States",CME Group is a diverse derivatives marketplace that manages risk and capture opportunities.,"9,990"
Corpay,https://www.crunchbase.com/organization/fleetcor-technologies,,"Commercial, Finance, Fuel, Payments","Norcross, Georgia, United States","Corpay provides specialized payment products and services to commercial fleets, oil companies, and petroleum marketers.","10,022"
Verisk,https://www.crunchbase.com/organization/verisk-analytics,,"Analytics, Financial Services, Health Care, Information Services, Insurance, Public Relations, Risk Management","Jersey City, New Jersey, United States",Verisk Analytics is a data analytics and risk assessment firm for the insurance sector.,"10,028"
Edison International,https://www.crunchbase.com/organization/edison-international,,"Electrical Distribution, Energy, Infrastructure","Rosemead, California, United States",Edison International is a generator and distributor of electric power and an investor in infrastructure and energy assets.,"10,044"
Nexstar Media Group,https://www.crunchbase.com/organization/nexstar-broadcasting-group,,"Broadcasting, Content, Information Services, Media and Entertainment, News, Publishing, Social Media, Sports","Irving, Texas, United States","Nexstar Media Group is a diversified media company that produces and distributes engaging local and national news, sports and entertainment.","10,056"
Datavant,https://www.crunchbase.com/organization/datavant,,"Biopharma, Clinical Trials, Data Integration, Health Care, Software","Phoenix, Arizona, United States","Datavant protects, connects, and delivers the world’s health data to power better decisions and advance human health.","10,094"
